35	CD-Writing HOWTO	CD-Writing-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	2.9.3       	2000-07-22	http://www.linuxdoc.org/HOWTO/CD-Writing-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	OTHER       	\N
50	DHCP mini-HOWTO	DHCP.sgml	MINI        	SGML        	DocBook     	3.1         	4.12        	2000-10-21	http://www.linuxdoc.org/HOWTO/mini/DHCP/index.html		N	?	U	\N	1970-01-01		U	t	\N	OPL         	\N
58	DSL HOWTO for Linux	DSL-HOWTO.sgml	HOWTO       	SGML        	DocBook     	3.1         	1.3         	2001-07-02	http://www.linuxdoc.org/HOWTO/DSL-HOWTO/index.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
57	DocBook Install mini-HOWTO	DocBook-Install.sgml	MINI        	SGML        	DocBook     	4.1         	1.7         	2001-03-27	http://www.linuxdoc.org/HOWTO/mini/DocBook-Install/		N	?	U	\N	1970-01-01		U	t	\N	GFDL        	\N
55	Divert Sockets mini-HOWTO		MINI        	SGML        	DocBook     	            	1.1         	2000-02-26	http://www.linuxdoc.org/HOWTO/mini/Divert-Sockets-mini-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	OTHER       	\N
71	Font HOWTO	Font-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	            	2000-12-22	http://www.linuxdoc.org/HOWTO/Font-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
312	The Hebrew HOWTO	Hebrew-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.4         	1995-09-11	http://www.linuxdoc.org/HOWTO/Hebrew-HOWTO.html		N	?	U	2001-07-20	1970-01-01		U	t	\N	NONE        	\N
176	Linux Meta-FAQ	META-FAQ.sgml	HOWTO       	SGML        	LinuxDoc    	            	4.7         	1997-10-24	http://www.linuxdoc.org/HOWTO/META-FAQ.html		N	?	U	\N	1970-01-01		U	t	\N	PD          	\N
436	Chroot-BIND HOWTO		HOWTO       	SGML        	DocBook     	            	1.4         	2001-07-01	http://www.linuxdoc.org/HOWTO/Chroot-BIND-HOWTO.html		N	?	U	\N	2001-07-04		U	t	\N	LDPL        	\N
51	Diald Howto	Diald-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.03        	2000-04-16	http://www.linuxdoc.org/HOWTO/Diald-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
64	Event HOWTO	Event-HOWTO.sgml	HOWTO       	SGML        	DocBook     	3.1         	0.05        	2000-11-07	http://www.linuxdoc.org/HOWTO/Event-HOWTO/		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
65	Ext2fs Undeletion of Directory Structures mini-HOWTO	Ex2fs-Undeletion-Dir-Struct.sgml	MINI        	SGML        	DocBook     	3.1         	0.1.1       	2000-11-13	http://www.linuxdoc.org/HOWTO/mini/Ext2fs-Undeletion-Dir-Struct/index.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
67	Filesystems HOWTO	Filesystems-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.7.5       	2000-07-31	http://www.linuxdoc.org/HOWTO/Filesystems-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
69	Firewall and Proxy Server HOWTO	Firewall-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.80        	2000-02-25	http://www.linuxdoc.org/HOWTO/Firewall-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
72	Framebuffer HOWTO	Framebuffer-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.2         	2000-02-26	http://www.linuxdoc.org/HOWTO/Framebuffer-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
99	HTML-Validation mini-HOWTO		MINI        	TEXT        	N/A         	            	0.2         	1995-10-28	http://metalab.unc.edu/pub/Linux/docs/HOWTO/unmaintained/mini/HTML-Validation		A	U	U	2001-07-25	1970-01-01		U	t	\N	NONE        	\N
